,concept,class_activation,background_activation,ratio,background
0,0,-0.002849928,-0.0004097223,6.955755,False
1,1,0.0062419013,0.0142370965,0.43842515,True
2,2,0.013045309,0.009694144,1.3456897,False
3,3,0.033389743,0.0023227595,14.375032,False
4,4,0.02944154,0.011318818,2.6011143,False
5,5,0.006308901,0.01444244,0.4368307,True
6,6,0.019381944,0.0029207207,6.636014,False
