,concept,class_activation,background_activation,ratio,background
0,0,-0.002815685,-0.0012479125,2.256316,False
1,1,0.008208267,0.0024334458,3.3731048,False
2,2,0.009047814,0.0016457338,5.4977384,False
3,3,-5.2523625e-05,-0.00021489366,0.24441682,True
4,4,0.000140316,0.0002671344,0.52526367,True
5,5,-0.0043173525,-0.0016737196,2.5794957,False
6,6,0.0027775336,0.00041563273,6.6826634,False
