,concept,class_activation,background_activation,ratio,background
0,0,0.07576117,0.065546125,1.1558452,False
1,1,0.0357638,0.02888799,1.2380161,False
2,2,0.019508313,-0.0046053804,-4.235983,True
3,3,0.027192958,0.02522505,1.078014,False
4,4,0.06849049,0.12981184,0.5276136,True
5,5,0.05035443,0.07719369,0.65231276,True
6,6,0.0103990175,0.014615135,0.7115239,True
