,concept,class_activation,background_activation,ratio,background
0,0,-0.0030835774,-0.00042399316,7.2727056,False
1,1,0.0075844172,0.0010825687,7.0059457,False
2,2,0.0009275401,0.00019186735,4.834278,False
3,3,-5.3824784e-05,-0.0001895097,0.28402126,True
4,4,0.0042244517,0.00024130613,17.506607,False
5,5,0.01778805,0.018248333,0.97477674,True
6,6,0.00021204982,-0.0005034035,-0.42123234,True
